ID_URBS,NUMERO_LINHA,DESC_LINHA,URL_URBS,URL_GAZETA,URL_MOOVIT
1973,198,E. E. BOA VISTA,-,,
1996,398,E. E. C. IMBUIA,-,,
2096,398,E. E. C. IMBUIA,-,,
2095,397,E. E. CAJURU,-,,
1995,397,E. E. CAJURU,-,,
2016,394,E. E. CENTRAU I,-,,
2116,394,E. E. CENTRAU I,-,,
1982,899,E. E. CIC,-,,
2082,899,E. E. CIC,-,,
2005,697,E. E. ECUMÊNICA 1,-,,
2105,697,E. E. ECUMÊNICA 1,-,,
1980,897,E. E. ECUMÊNICA 2,-,,
2080,897,E. E. ECUMÊNICA 2,-,,
2081,898,E. E. ECUMÊNICA 3,-,,
1981,898,E. E. ECUMÊNICA 3,-,,
1992,299,E. E. ECUMÊNICA 4,-,,
2092,299,E. E. ECUMÊNICA 4,-,,
2075,295,E. E. ECUMÊNICA 5,-,,
1975,295,E. E. ECUMÊNICA 5,-,,
2102,599,E. E. HELENA ANTIPOFF 1,-,,
2002,599,E. E. HELENA ANTIPOFF 1,-,,
1976,497,E. E. HELENA ANTIPOFF 2,-,,
2076,497,E. E. HELENA ANTIPOFF 2,-,,
2088,197,E. E. HELENA ANTIPOFF 3,-,,
1988,197,E. E. HELENA ANTIPOFF 3,-,,
2084,499,E. E. HELENA ANTIPOFF 4,-,,
1984,499,E. E. HELENA ANTIPOFF 4,-,,
2018,995,E. E. LUCY REQUIAO 1,-,,
2118,995,E. E. LUCY REQUIAO 1,-,,
1978,698,E. E. NOSSA SRA. DA LUZ,-,,
2078,698,E. E. NOSSA SRA. DA LUZ,-,,
2012,896,E. E. NOVO MUNDO,-,,
2112,896,E. E. NOVO MUNDO,-,,
2114,997,E. E. ORLEANS,-,,
2014,997,E. E. ORLEANS,-,,
1972,196,E. E. PILARZINHO,-,,
2072,196,E. E. PILARZINHO,-,,
2104,696,E. E. PINHEIRINHO,-,,
2004,696,E. E. PINHEIRINHO,-,,
1987,391,E. E. SAO FRANCISCO DE ASSIS 1,-,,
2087,391,E. E. SAO FRANCISCO DE ASSIS 1,-,,
2100,597,E. E. SÍTIO CERCADO,-,,
2000,597,E. E. SÍTIO CERCADO,-,,
2089,296,E. E. STA. CÂNDIDA,-,,
1989,296,E. E. STA. CÂNDIDA,-,,
2113,996,E. E. STA. FELICIDADE,-,,
2013,996,E. E. STA. FELICIDADE,-,,
2108,796,E. E. STA. HELENA,-,,
2008,796,E. E. STA. HELENA,-,,
2009,797,E. E. STA. QUITÉRIA,-,,
2109,797,E. E. STA. QUITÉRIA,-,,
2111,895,E. E. TATUQUARA,-,,
2011,895,E. E. TATUQUARA,-,,
2083,693,E. E. THOMAZ EDISON 1,-,,
1983,693,E. E. THOMAZ EDISON 1,-,,
2132,893,E. E. TOMAZ EDISON 2,-,,
2032,893,E. E. TOMAZ EDISON 2,-,,
1986,691,E. E. TOMAZ EDISON 3,-,,
2086,691,E. E. TOMAZ EDISON 3,-,,
2117,392,E. E. TOMAZ EDISON 4,-,,
2017,392,E. E. TOMAZ EDISON 4,-,,
2133,692,E. E. TOMAZ EDISON 5,-,,
2033,692,E. E. TOMAZ EDISON 5,-,,
2098,496,E. E. UBERABA,-,,
1998,496,E. E. UBERABA,-,,
1993,395,E. E. V. OFICINAS,-,,
2093,395,E. E. V. OFICINAS,-,,
2085,998,E. E. VIVIAN MARCAL 1,-,,
1985,998,E. E. VIVIAN MARCAL 1,-,,
22,533,E. VERÍSSIMO / PANTANAL,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/erico-verissimo-pantanal-533/,
2024,294,E.E. ECUMENICA 6,-,,
2124,294,E.E. ECUMENICA 6,-,,
2020,494,E.E. HELENA ANTIPOFF 5,-,,
2120,494,E.E. HELENA ANTIPOFF 5,-,,
2021,994,E.E. NABIL TACLA 1,-,,
2121,994,E.E. NABIL TACLA 1,-,,
2022,999,E.E. VIVIAN MARCAL 2,-,,
2122,999,E.E. VIVIAN MARCAL 2,-,,
98,465,ERASTO GAERTNER,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/erasto-gaertner-465/,
782,X12,ESPECIAL BOQUEIRAO,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/especial-boqueirao-X12/,
828,X19,ESPECIAL HASDRUBAL BELLEGARD,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/especial-hasdrubal-bellegard-X19/,
100,266,ESTRIBO AHÚ,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/estribo-ahu-266/,
146,466,ESTUDANTES,,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/estudantes-466/,
